CHRONOS:9007208466892659
Found 6394 rows between start time: 1652033978 and end time: 1652883578
Ignoring URN 425364ce479d5cbf7d3e102e77c6584701a6157f with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 3c56c1e1b61cfae12586498ffd0a2f0b910a1cb2 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 14035379f52ecfaf690975b5998547af7a423902 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN c18814a62bec3982bb210f455951160d5a731404 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN cf9228295c3ff422d05b55885341f5ac99b6e36f with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN e70252c852556ffb59057aa5e26472f24919f4b5 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 6a7f967f0a13cb8987820d576d613bab46ab17e6 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 09570fa28d360e6ddf14452f5d1451e59ddeb784 with reason: Invoice was resent with valid XML and urn: e751e8c9ab5755bce9048c9dbabeb28a5bd12ff0; this should go away in following runs
Ignoring URN 60318661d56076e353ccd1b3b1c2f5d209e63fcd with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 948038f12f47df88ed1cf203aedb39f7d4ecfa1f with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN afd6fedaf35d1429055e10597945635e4bbf5351 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 4b2c40f76078419b3cb32abe747a3d414d643cf1 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 8c2c1ae1410b7e90c3ee7257c7c85c324e14e7e5 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN dd749ed364a41191e45ebf2b6de0759b9143b3d9 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN ec9440d3454e7b6bde7942826adbefe9e9b3085a with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN e988f9b4af89a681dc8918d4d6162363aba9c57a with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 9df48992688f73f994bf30b9faea0b3b5ed7afac with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 07c532d1f53f2161d9ef75e897c4f98f2764486d with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 06679277877682278e1aca2e8bd406eb818e83ea with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 41f89c85c1e5963e0902e664784affa248331529 with reason: Invoice was resent with valid XML and urn: 113e1f4cae4a6504c7173cd33459d3f91089c846; this should go away in following runs
Ignoring URN 9c1c60437edc445c3c62be76c636c5aa2e985303INVALIDKEY with reason: This invoice is part of batch T111636212 where the key had to be refreshed, and old ones had invalid key.; this should go away in following runs
Ignoring URN 02e177b8f928347a68e8abb79262633dae09f58a with reason: Supplier Data Issue - T116273866; this should go away in following runs
Ignoring URN 786d7e013572c503ca776935a3819410caacdb9d with reason: Supplier Data Issue - T116273866; this should go away in following runs
Ignoring URN ca143fd6c2956872722f8806429af2932c5ba7c8 with reason: Supplier Data Issue - T116273866; this should go away in following runs
Ignoring URN 243d4ebdef5aac6cc8c05bdd70a1b2dbb6388f74 with reason: Supplier Data Issue - T116273866; this should go away in following runs
Ignoring URN 8dd49edcee02e6e46dddce50e0a762d1b17b61fb with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 015b5f0adfd88f7e7c7086427a49a2e212fe2393 with reason: Supplier Data Issue - T116273866; this should go away in following runs
Ignoring URN ea5dfac856bae99b01408ce42e64064f730000a2 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 1a4454f41e84d2c308616d1c6424959c34885f05 with reason: Supplier Data Issue - T116273866; this should go away in following runs
Ignoring URN 99fa53358d01a2d66b5238b046a255c9460aab6b with reason: Supplier Data Issue - T116273866; this should go away in following runs
Ignoring URN 6c43cbd22df4e9be149475c14a6f1530cafe0adcINVALIDKEY with reason: This invoice is part of batch T111636212 where the key had to be refreshed, and old ones had invalid key.; this should go away in following runs
Ignoring URN 532aad7006e2bd58f18bf8896ce79c51608fd9c1 with reason: Supplier Data Issue - T116273866; this should go away in following runs
Ignoring URN 736667bf8cf89182c142a2def2bba326d4fc11d1 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN fe4bdbb2e36cf2309c73afbf2be5407460dde239 with reason: Invoice was resent with valid XML and urn: 0dff779dece37acc0384502879be67e99a9ae3e2; this should go away in following runs
Ignoring URN 2fc80e3e951ab4c4182ec73b41842500acb894c7 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 046857a43dedb320aeeb46c1e5dbb2e3bea464af with reason: XML is not an invoice; this should go away in following runs
Ignoring URN 970ccaafae5b5b783ba504051df1eec45d6b0a98 with reason: Supplier Data Issue - T116273866; this should go away in following runs
Ignoring URN ed6ecd83dc701157777c9bf436e1f53bf8020f32 with reason: Invoice was resent with valid XML and urn: c67399513c11571b4c2ed4cab0cbc199752bc26d; this should go away in following runs
Ignoring URN cccffe0eaf7418bf74147697492703fd93eff60a with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 867f9c981d907203b6f21af53a313597f9bdc96d with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN e624fd593942ef11a1dd1d37f04a3764004000e1 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN ecf60080f5229193632c7f7c38914c475cd77f88INVALIDKEY with reason: This invoice is part of batch T111636212 where the key had to be refreshed, and old ones had invalid key.; this should go away in following runs
